Link,Duration,Music,Likes,Comments,Saved,Hashtags,DatePosted,views,LikesToViewsRatio,DayOfWeek,HourOfDay,Minute,HalfHour,Minutes,Seconds
https://www.tiktok.com/@soneedo/video/7262459740188445957,26,sonido original - soneedo,78,4,9,"['#soneedo', '#robloxgames', '#roblox', '#parati', '#multijugador', '#risas']",2023-08-01 14:53:00,5832,0.01,Tuesday,14,53,14.883333333333333,0,26
https://www.tiktok.com/@soneedo/video/7261727975773588742,29,Aesthetic - Tollan Kim,86,2,24,"['#foryou', '#juego', '#multijugador', '#parati', '#roblox', '#miedo', '#terror', '#robloxgames', '#soneedo']",2023-07-30 15:33:22,6143,0.01,Sunday,15,33,15.55,0,29
https://www.tiktok.com/@soneedo/video/7261351901424405765,28,Carmina Burana Chorus(827975) - MANDEL BLUR,3514,40,1417,"['#terror', '#miedo', '#soneedo', '#robloxgames', '#roblox', '#juegos', '#parati', '#multijugador', '#juego', '#foryou']",2023-07-29 15:14:02,35000,0.1,Saturday,15,14,15.233333333333333,0,28
https://www.tiktok.com/@soneedo/video/7260968929621708037,34,"Mozart/Requiem ""Lacrimosa""(1394506) - Mint",119000,1268,45800,"['#juego', '#multijugador', '#parati', '#juegos', '#roblox', '#robloxgames', '#soneedo', '#miedo', '#terror']",2023-07-28 14:27:52,855400,0.14,Friday,14,27,14.45,0,34
https://www.tiktok.com/@soneedo/video/7260603319456943365,27,Bebe Dame - Fuerza Regida & Grupo Frontera,240,3,64,"['#soneedo', '#foryou', '#robloxgames', '#roblox', '#juegos', '#parati', '#multijugador', '#juego']",2023-07-27 14:49:08,8029,0.03,Thursday,14,49,14.816666666666666,0,27
https://www.tiktok.com/@soneedo/video/7259823937142459653,26,sonido original - soneedo,227,9,18,"['#reflexion', '#parapensarlo', '#parasaber', '#español', '#soneedo']",2023-07-25 12:24:44,7628,0.03,Tuesday,12,24,12.4,0,26
https://www.tiktok.com/@soneedo/video/7259480119813672197,30,"Carmina Burana, Introduction, Fortuna Imperatrix Mundi: O Fortuna - Franz Welser-Möst",3279,41,980,"['#miedo', '#terror', '#juego', '#multijugador', '#parati', '#juegos', '#soneedo', '#roblox', '#robloxgames', '#foryou']",2023-07-24 14:10:33,30600,0.11,Monday,14,10,14.166666666666666,0,30
https://www.tiktok.com/@soneedo/video/7258735578550766853,31,"Mozart/Requiem ""Lacrimosa""(1394506) - Mint",349500,3435,137000,"['#robloxgames', '#roblox', '#soneedo', '#juegos', '#parati', '#multijugador', '#juego', '#terror', '#miedo', '#videojuego']",2023-07-22 14:01:22,2100000,0.17,Saturday,14,1,14.016666666666667,0,31
https://www.tiktok.com/@soneedo/video/7258375197672131846,41,Bach: Solo Cello Suite No. 1 in G Major (BWV 1007)---Prelude - Charles Curtis,3030,49,933,"['#multijugador', '#juego', '#foryou', '#parati', '#juegos', '#roblox', '#soneedo', '#squidgame', '#robloxgames']",2023-07-21 14:42:54,39300,0.08,Friday,14,42,14.7,0,41
https://www.tiktok.com/@soneedo/video/7258016885709475077,28,Chopin Nocturne No. 2 Piano Mono - moshimo sound design,49000,478,17100,"['#juegos', '#parati', '#foryou', '#juego', '#roblox', '#terror', '#hideandseek', '#escondite', '#multijugador']",2023-07-20 15:32:26,390000,0.13,Thursday,15,32,15.533333333333333,0,28
https://www.tiktok.com/@soneedo/video/7257281871845903622,26,Devil Emperor Phonk - Bgnzinho,20500,231,8075,"['#videojuego', '#pelea', '#juegos', '#foryou', '#parati', '#roblox', '#robloxgames', '#terror', '#soneedo']",2023-07-18 16:00:14,167900,0.12,Tuesday,16,0,16.0,0,26
https://www.tiktok.com/@soneedo/video/7256576361991654661,16,sonido original - soneedo,85,5,14,"['#humor', '#humornegro', '#pelea', '#roblox', '#videojuego']",2023-07-16 18:22:31,6886,0.01,Sunday,18,22,18.366666666666667,0,16
https://www.tiktok.com/@soneedo/video/7256517895620971781,27,Wii Shop Channel Trap - OSRSBeatz,31000,339,9785,"['#foryou', '#parati', '#juegos', '#juego', '#roblox', '#pelea', '#juegodepelea', '#soneedo', '#onepunchman', '#anime']",2023-07-16 14:35:36,493300,0.06,Sunday,14,35,14.583333333333334,0,27
https://www.tiktok.com/@soneedo/video/7256141552840445190,28,Creepy and simple horror background music(1070744) - howlingindicator,55400,637,18600,"['#fyp', '#terror', '#miedoyterror', '#roblox', '#robloxgames', '#juego', '#juegos', '#soneedo', '#parati', '#foryou']",2023-07-15 14:15:13,358700,0.15,Saturday,14,15,14.25,0,28
https://www.tiktok.com/@soneedo/video/7255406687664835845,28,Life Goes On - Oliver Tree,354,4,100,"['#box', '#videojuego', '#shadowboxing', '#juegos', '#juegos', '#parati', '#fyp', '#roblox', '#soneedo', '#robloxfyp']",2023-07-13 14:43:32,7851,0.05,Thursday,14,43,14.716666666666667,0,28
https://www.tiktok.com/@soneedo/video/7255030169692359941,24,sonido original - soneedo,500,9,57,"['#parati', '#roblox', '#saitama', '#anime', '#pelea', '#soneedo', '#juegosderoblox', '#robloxfyp', '#videojuego', '#onepunchman']",2023-07-12 14:22:29,11400,0.04,Wednesday,14,22,14.366666666666667,0,24
https://www.tiktok.com/@soneedo/video/7254982092398824710,27,Cupid (Twin Ver.) - FIFTY FIFTY,853,17,267,"['#onlyup', '#juegosderoblox', '#soneedo', '#obby', '#parkour', '#fyp', '#parati']",2023-07-12 11:15:54,19600,0.04,Wednesday,11,15,11.25,0,27
https://www.tiktok.com/@soneedo/video/7254308419237072133,22,Call Me Slowed - Dirizt,157600,1469,55300,"['#parati', '#videojuego', '#multijugador', '#fyp', '#roblox', '#robloxfyp', '#terror', '#miedo', '#juego']",2023-07-10 15:41:43,1000000,0.16,Monday,15,41,15.683333333333334,0,22
https://www.tiktok.com/@soneedo/video/7253943885049744646,35,Cupid (Twin Ver.) - FIFTY FIFTY,472,4,152,"['#roblox', '#fyp', '#voicechat', '#multijugador', '#videojuego', '#parati', '#soneedo']",2023-07-09 16:07:08,11800,0.04,Sunday,16,7,16.116666666666667,0,35
https://www.tiktok.com/@soneedo/video/7252844199425477894,23,sonido original - soneedo,146,1,16,"['#risas', '#humornegro', '#multijugador', '#voicechat', '#ligando', '#ligar', '#fyp', '#roblox', '#soneedo']",2023-07-06 16:59:49,5636,0.03,Thursday,16,59,16.983333333333334,0,23
https://www.tiktok.com/@soneedo/video/7252423494317722885,33,sonido original - soneedo,224,6,22,"['#roblox', '#fyp', '#juego', '#videojuego', '#ligar', '#ligando', '#amor', '#voicechat', '#multijugador', '#risas']",2023-07-05 13:47:14,5973,0.04,Wednesday,13,47,13.783333333333333,0,33
https://www.tiktok.com/@soneedo/video/7251703806009068806,27,Creepy and simple horror background music(1070744) - howlingindicator,63600,543,18700,"['#juegos', '#videojuego', '#juego', '#miedo', '#terror', '#fyp', '#roblox', '#soneedo']",2023-07-03 15:14:28,419600,0.15,Monday,15,14,15.233333333333333,0,27
https://www.tiktok.com/@soneedo/video/7250562490520603910,32,Cupid – Twin Ver. (FIFTY FIFTY) – Sped Up Version - sped up 8282,4448,48,1496,"['#terror', '#miedo', '#juego', '#videojuego', '#juegos', '#multijugador', '#roblox', '#soneedo', '#fyp']",2023-06-30 13:25:35,57700,0.08,Friday,13,25,13.416666666666666,0,32
https://www.tiktok.com/@soneedo/video/7249851447649553670,26,Creepy and simple horror background music(1070744) - howlingindicator,7548,74,2536,"['#fyp', '#juegos', '#multijugador', '#videojuego', '#juego', '#miedo', '#terror', '#soneedo', '#roblox']",2023-06-28 15:26:23,66200,0.11,Wednesday,15,26,15.433333333333334,0,26
https://www.tiktok.com/@soneedo/video/7249548928834669830,40,One Piece - YungLex,137,7,18,"['#juego', '#videojuego', '#risas', '#multijugador', '#juegos', '#roblox', '#fyp', '#voicechat']",2023-06-27 19:52:27,4764,0.03,Tuesday,19,52,19.866666666666667,0,40
https://www.tiktok.com/@soneedo/video/7248999854981025029,40,sonido original - soneedo,92,2,13,"['#voicechat', '#juegos', '#multijugador', '#risas', '#soneedo', '#roblox', '#videojuego', '#juego']",2023-06-26 08:21:44,5188,0.02,Monday,8,21,8.35,0,40
https://www.tiktok.com/@soneedo/video/7246946893421415685,0,sonido original - soneedo,732,16,219,"['#videojuegos', '#multiplayer', '#fyp', '#gaming', '#scary', '#miedo', '#roblox', '#soneedo', '#juegos']",2023-06-20 19:35:13,14200,0.05,Tuesday,19,35,19.583333333333332,0,0
https://www.tiktok.com/@soneedo/video/7246556338971479302,26,sonido original - soneedo,97,1,29,"['#gaming', '#fyp', '#multiplayer', '#videojuegos', '#risa', '#minecraft', '#skywars', '#roblox', '#soneedo']",2023-06-19 18:19:41,5494,0.02,Monday,18,19,18.316666666666666,0,26
https://www.tiktok.com/@soneedo/video/7243948791051635974,32,sonido original - soneedo,7595,133,2334,"['#fyp', '#multiplayer', '#fyp', '#gaming', '#madeinabyss', '#anime', '#otaku', '#soneedo']",2023-06-12 17:41:04,68100,0.11,Monday,17,41,17.683333333333334,0,32
https://www.tiktok.com/@soneedo/video/7243118329207016709,56,sonido original - soneedo,316,7,64,"['#multiplayer', '#fyp', '#scary', '#miedo', '#roblox', '#videojuegos', '#soneedo', '#risa', '#']",2023-06-10 11:58:25,6583,0.05,Saturday,11,58,11.966666666666667,0,56
https://www.tiktok.com/@soneedo/video/7242439226745179398,39,Creepy horror ambient(1022762) - howlingindicator,2544,31,863,"['#miedo', '#videonuego', '#scary', '#fyp', '#roblox', '#multiplayer', '#soneedo']",2023-06-08 16:03:10,23400,0.11,Thursday,16,3,16.05,0,39
https://www.tiktok.com/@soneedo/video/7242082777460526342,36,sonido original - soneedo,115,2,12,"['#risa', '#risas', '#soneedo', '#gaming', '#fyp', '#multiplayer', '#roblox', '#miedo', '#videojuegos']",2023-06-07 16:59:59,5075,0.02,Wednesday,16,59,16.983333333333334,0,36
